,article_title,revision_id,article_quality,country,population,region,region_population
163,Glauk Konjufca,1110511667.0,Start,Albania,2.8,SOUTHERN EUROPE,151.0
164,Xhelal Koprëncka,1106794268.0,Stub,Albania,2.8,SOUTHERN EUROPE,151.0
165,Kryeziu family,1113466121.0,Start,Albania,2.8,SOUTHERN EUROPE,151.0
166,Artur Kuko,1112281132.0,Stub,Albania,2.8,SOUTHERN EUROPE,151.0
167,Xhavid Leskoviku,1080104315.0,Start,Albania,2.8,SOUTHERN EUROPE,151.0
168,Sabit Lulo,1071576324.0,Stub,Albania,2.8,SOUTHERN EUROPE,151.0
169,Gjon Markagjoni,1114419158.0,C,Albania,2.8,SOUTHERN EUROPE,151.0
170,Tefik Mborja,1112281218.0,Start,Albania,2.8,SOUTHERN EUROPE,151.0
171,Fatmir Mediu,1108640753.0,Stub,Albania,2.8,SOUTHERN EUROPE,151.0
172,Hysni Milloshi,1111101481.0,Start,Albania,2.8,SOUTHERN EUROPE,151.0
173,Musa Qazimi,1085455681.0,GA,Albania,2.8,SOUTHERN EUROPE,151.0
174,Mustafa Ndroqi,1091483288.0,Stub,Albania,2.8,SOUTHERN EUROPE,151.0
175,Behxhet Nepravishta,1114419169.0,Stub,Albania,2.8,SOUTHERN EUROPE,151.0
176,Adrian Neritani,1112281129.0,Start,Albania,2.8,SOUTHERN EUROPE,151.0
177,Sali Nivica,1074384873.0,Start,Albania,2.8,SOUTHERN EUROPE,151.0
178,Thoma Orologa,1114419178.0,Start,Albania,2.8,SOUTHERN EUROPE,151.0
179,Bedri Pejani,1080373501.0,C,Albania,2.8,SOUTHERN EUROPE,151.0
180,Pertef Pogoni,1071576384.0,Stub,Albania,2.8,SOUTHERN EUROPE,151.0
181,Kadri Prishtina,1115424613.0,Start,Albania,2.8,SOUTHERN EUROPE,151.0
182,Ymer Prizreni,1114419180.0,Start,Albania,2.8,SOUTHERN EUROPE,151.0
183,Avni Rustemi,1113688253.0,C,Albania,2.8,SOUTHERN EUROPE,151.0
184,Chatin Sarachi,1089622596.0,C,Albania,2.8,SOUTHERN EUROPE,151.0
185,Nebi Sefa,978173646.0,Stub,Albania,2.8,SOUTHERN EUROPE,151.0
186,Eduard Shalsi,1090651886.0,Start,Albania,2.8,SOUTHERN EUROPE,151.0
187,Ylli Vesel Shehu,1002857261.0,Stub,Albania,2.8,SOUTHERN EUROPE,151.0
188,Athanas Shundi,1090001664.0,B,Albania,2.8,SOUTHERN EUROPE,151.0
189,Xhelal Sveçla,1110419834.0,Start,Albania,2.8,SOUTHERN EUROPE,151.0
190,Mehmet Tahsini,1089358942.0,Stub,Albania,2.8,SOUTHERN EUROPE,151.0
191,Ibrahim Temo,1114899959.0,GA,Albania,2.8,SOUTHERN EUROPE,151.0
192,Pavli Terka,1107079359.0,Start,Albania,2.8,SOUTHERN EUROPE,151.0
193,Afrim Tole,1091240960.0,Stub,Albania,2.8,SOUTHERN EUROPE,151.0
194,Sejfi Vllamasi,1073823015.0,Start,Albania,2.8,SOUTHERN EUROPE,151.0
195,Syrja Vlora,1109383587.0,Start,Albania,2.8,SOUTHERN EUROPE,151.0
196,Visarion Xhuvani,1115321286.0,C,Albania,2.8,SOUTHERN EUROPE,151.0
197,Visar Ymeri,1036757024.0,Stub,Albania,2.8,SOUTHERN EUROPE,151.0
198,Abdyl Ypi,1075914314.0,Stub,Albania,2.8,SOUTHERN EUROPE,151.0
199,Xhezair Zaganjori,1106753028.0,Start,Albania,2.8,SOUTHERN EUROPE,151.0
200,Menduh Zavalani,1071577719.0,GA,Albania,2.8,SOUTHERN EUROPE,151.0
201,Said Abadou,1112193748.0,Stub,Algeria,44.9,NORTHERN AFRICA,251.0
202,Tahar Allan,1059626268.0,Stub,Algeria,44.9,NORTHERN AFRICA,251.0
203,Mohamed Seghir Babes,1079379844.0,Stub,Algeria,44.9,NORTHERN AFRICA,251.0
204,Djelloul Baghli,1053461392.0,Stub,Algeria,44.9,NORTHERN AFRICA,251.0
205,Noureddine Bahbouh,1099284595.0,Stub,Algeria,44.9,NORTHERN AFRICA,251.0
206,Lamine Bechichi,1111537825.0,Stub,Algeria,44.9,NORTHERN AFRICA,251.0
207,Bakhti Belaïb,1107713309.0,Stub,Algeria,44.9,NORTHERN AFRICA,251.0
208,Mohamed Belouizdad,1102331624.0,Start,Algeria,44.9,NORTHERN AFRICA,251.0
209,Mourad Benachenou,1091746754.0,Stub,Algeria,44.9,NORTHERN AFRICA,251.0
210,Benaouda Hadj Hacène Bachterzi,1064464792.0,Stub,Algeria,44.9,NORTHERN AFRICA,251.0
211,Souad Bendjaballah,1064463751.0,Stub,Algeria,44.9,NORTHERN AFRICA,251.0
212,Mohammed Saleh Bendjelloul,1064459314.0,Stub,Algeria,44.9,NORTHERN AFRICA,251.0
213,Mohamed Bensalam,1053464158.0,Stub,Algeria,44.9,NORTHERN AFRICA,251.0
214,Said Boualam,1104123484.0,Start,Algeria,44.9,NORTHERN AFRICA,251.0
215,Abdeslam Bouchouareb,1053459025.0,Stub,Algeria,44.9,NORTHERN AFRICA,251.0
216,Brahim Chibout,1053460621.0,Stub,Algeria,44.9,NORTHERN AFRICA,251.0
217,Bouras Djamel,1072064909.0,Stub,Algeria,44.9,NORTHERN AFRICA,251.0
218,Ahmed Djebbar,1112131049.0,Stub,Algeria,44.9,NORTHERN AFRICA,251.0
219,Fatiha Serour,1019766063.0,Start,Algeria,44.9,NORTHERN AFRICA,251.0
220,Mohamed Hassaïne,1098798192.0,C,Algeria,44.9,NORTHERN AFRICA,251.0
221,Ibrahim Boughali,1110540602.0,Stub,Algeria,44.9,NORTHERN AFRICA,251.0
222,Abdenour Keramane,1028900906.0,Stub,Algeria,44.9,NORTHERN AFRICA,251.0
223,Abelkader Khamri,1088927932.0,Stub,Algeria,44.9,NORTHERN AFRICA,251.0
224,Mahmoud Khedri,1102198843.0,Stub,Algeria,44.9,NORTHERN AFRICA,251.0
225,Mohamed Laïchoubi,1053469601.0,Stub,Algeria,44.9,NORTHERN AFRICA,251.0
226,Sassi Lamouri,1053478920.0,Stub,Algeria,44.9,NORTHERN AFRICA,251.0
227,Mohamed Maghlaoui,1053469610.0,Stub,Algeria,44.9,NORTHERN AFRICA,251.0
228,Amar Makhloufi,1053459748.0,Stub,Algeria,44.9,NORTHERN AFRICA,251.0
229,Hacen Mefti,1053461924.0,Stub,Algeria,44.9,NORTHERN AFRICA,251.0
230,Mokhtar Meherzi,1028900891.0,Stub,Algeria,44.9,NORTHERN AFRICA,251.0
231,Mohamed Elias Mesli,1009461580.0,Stub,Algeria,44.9,NORTHERN AFRICA,251.0
232,Azzedine Mihoubi,1031600815.0,Start,Algeria,44.9,NORTHERN AFRICA,251.0
233,Cherif Rahmani,1053461144.0,Stub,Algeria,44.9,NORTHERN AFRICA,251.0
234,Naima Salhi,1113203380.0,Stub,Algeria,44.9,NORTHERN AFRICA,251.0
235,Guillem d'Areny-Plandolit,1100710928.0,FA,Andorra,0.1,SOUTHERN EUROPE,151.0
236,Guillem Areny,1101200095.0,Stub,Andorra,0.1,SOUTHERN EUROPE,151.0
237,Joan Armengol,1105550472.0,Stub,Andorra,0.1,SOUTHERN EUROPE,151.0
238,Francesc Badia Batalla,1102180575.0,Stub,Andorra,0.1,SOUTHERN EUROPE,151.0
239,Josep Maria Beal,1104772844.0,Stub,Andorra,0.1,SOUTHERN EUROPE,151.0
240,Climent Palmitjavila,1102731108.0,Stub,Andorra,0.1,SOUTHERN EUROPE,151.0
241,Antoni Puigdellívol,1100253414.0,Start,Andorra,0.1,SOUTHERN EUROPE,151.0
242,Òscar Ribas Reig,1105529195.0,C,Andorra,0.1,SOUTHERN EUROPE,151.0
243,Boris Skossyreff,1114575861.0,GA,Andorra,0.1,SOUTHERN EUROPE,151.0
244,Enric Tarrado Vives,986671433.0,Stub,Andorra,0.1,SOUTHERN EUROPE,151.0
245,Alexandre Sebastião André,979043156.0,Stub,Angola,35.6,MIDDLE AFRICA,196.0
246,Isaac Maria dos Anjos,1087791055.0,Stub,Angola,35.6,MIDDLE AFRICA,196.0
